1431645563.351017,switchgens,h7,None
1431645574.613918,switchgens,h7,None
1431645585.598988,switchgens,h7,None
1431645596.533697,switchgens,h7,None
1431645607.27442,switchgens,h7,None
1431645618.731532,switchgens,h7,None
1431645629.753078,switchgens,h7,None
1431645640.852655,switchgens,h7,None
1431645651.93019,switchgens,h7,None
1431645663.053688,switchgens,h7,None
1431645674.671041,switchgens,h7,None
1431645685.610949,switchgens,h7,None
1431645696.481809,switchgens,h7,None
1431645707.739605,switchgens,h7,None
1431645719.03375,switchgens,h7,None
1431645730.319894,switchgens,h7,None
1431645741.116688,switchgens,h7,None
1431645752.206354,switchgens,h7,None
1431645763.496267,switchgens,h7,None
1431645778.690586,switchgens,h7,None
1431645785.267684,switchgens,h7,None
1431645796.437876,switchgens,h7,None
1431645807.837866,switchgens,h7,None
1431645819.167214,switchgens,h7,None
1431645830.666548,switchgens,h7,None
1431645841.949867,switchgens,h7,None
1431645853.194275,switchgens,h7,None
1431645864.186183,switchgens,h7,None
1431645875.765565,switchgens,h7,None
1431645886.805855,switchgens,h7,None
1431645897.854258,switchgens,h7,None
1431645908.726963,switchgens,h7,None
1431645920.589951,switchgens,h7,None
1431645932.025413,switchgens,h7,None
1431645943.873075,switchgens,h7,None
1431645955.184885,switchgens,h7,None
1431645966.633756,switchgens,h7,None
1431645977.426136,switchgens,h7,None
1431645988.780948,switchgens,h7,None
